date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:27:08	82316/82316	---MC-	200	added ('OK')	text/html	date:Sat,%2025%20Oct%202025%2010:56:09%20GMT	https://www.centralpark.in/	C:/Users/HP/Desktop/Landing_page/central_park_final/www.centralpark.in/index.html	(from )
16:27:10	118/118	---M--	200	added ('OK')	text/plain	date:Mon,%2007%20Aug%202023%2012:06:54%20GMT	https://www.centralpark.in/robots.txt		(from )
16:27:10	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2025%20Oct%202025%2010:56:16%20GMT	https://www.centralpark.in/images/logo.png	C:/Users/HP/Desktop/Landing_page/central_park_final/www.centralpark.in/images/logo.png	(from https://www.centralpark.in/)
16:27:11	235897/235897	---M--	200	added ('OK')	image/x-icon	date:Wed,%2013%20Nov%202024%2007:09:18%20GMT	https://www.centralpark.in/images/faviv2.ico	C:/Users/HP/Desktop/Landing_page/central_park_final/www.centralpark.in/images/faviv2.ico	(from https://www.centralpark.in/)
16:27:11	172446/172446	---M--	200	added ('OK')	text/css	date:Mon,%2014%20Jul%202025%2012:24:44%20GMT	https://www.centralpark.in/css/style.css	C:/Users/HP/Desktop/Landing_page/central_park_final/www.centralpark.in/css/style.css	(from https://www.centralpark.in/)
16:27:11	41189/41189	---M--	200	added ('OK')	text/css	date:Thu,%2010%20Jul%202025%2012:51:57%20GMT	https://www.centralpark.in/css/responisve.css	C:/Users/HP/Desktop/Landing_page/central_park_final/www.centralpark.in/css/responisve.css	(from https://www.centralpark.in/)
16:27:12	71530/71530	---M--	200	added ('OK')	text/css	date:Mon,%2030%20May%202022%2011:32:43%20GMT	https://www.centralpark.in/css/animate.css	C:/Users/HP/Desktop/Landing_page/central_park_final/www.centralpark.in/css/animate.css	(from https://www.centralpark.in/)
16:27:12	1372/1372	---M--	200	added ('OK')	text/css	date:Sat,%2018%20Feb%202023%2011:38:15%20GMT	https://www.centralpark.in/css/slick.css	C:/Users/HP/Desktop/Landing_page/central_park_final/www.centralpark.in/css/slick.css	(from https://www.centralpark.in/)
16:27:12	3019/3019	---M--	200	added ('OK')	text/css	date:Mon,%2030%20May%202022%2011:34:38%20GMT	https://www.centralpark.in/css/slick-theme.css	C:/Users/HP/Desktop/Landing_page/central_park_final/www.centralpark.in/css/slick-theme.css	(from https://www.centralpark.in/)
16:27:12	622/622	---M--	200	added ('OK')	text/css	date:Mon,%2030%20May%202022%2011:33:24%20GMT	https://www.centralpark.in/css/eocjs-newsticker.css	C:/Users/HP/Desktop/Landing_page/central_park_final/www.centralpark.in/css/eocjs-newsticker.css	(from https://www.centralpark.in/)
16:27:12	30625/30625	---M--	200	added ('OK')	text/css	date:Fri,%2007%20Oct%202022%2011:00:46%20GMT	https://www.centralpark.in/css/font-awesome.min.css	C:/Users/HP/Desktop/Landing_page/central_park_final/www.centralpark.in/css/font-awesome.min.css	(from https://www.centralpark.in/)
16:27:13	22788/22788	---M--	200	added ('OK')	font/woff	date:Mon,%2013%20Dec%202021%2014:38:54%20GMT	https://www.centralpark.in/fonts/OPTIMA.woff	C:/Users/HP/Desktop/Landing_page/central_park_final/www.centralpark.in/fonts/OPTIMA.woff	(from https://www.centralpark.in/)
16:27:13	77160/77160	---M--	200	added ('OK')	font/woff2	date:Mon,%2013%20Dec%202021%2014:38:54%20GMT	https://www.centralpark.in/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/Users/HP/Desktop/Landing_page/central_park_final/www.centralpark.in/fonts/fontawesome-webfont3e6e.woff2	(from https://www.centralpark.in/)
16:27:13	18454/18454	---MCZ	200	added ('OK')	text/css	etag:W/%224816-00NTceTFOXSCfuleSHYg+tVGAkA%22	https://cdn.jsdelivr.net/npm/swiper@11/swiper-bundle.min.css	C:/Users/HP/Desktop/Landing_page/central_park_final/cdn.jsdelivr.net/npm/swiper@11/swiper-bundle.min.css	(from https://www.centralpark.in/)
16:27:14	73890/73890	---M-Z	200	added ('OK')	text/css	etag:%226760ad4c-51a1%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.7.2/css/all.min.css	C:/Users/HP/Desktop/Landing_page/central_park_final/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.7.2/css/all.min.css	(from https://www.centralpark.in/)
16:27:14	333466/333466	---M-Z	200	added ('OK')	application/x-javascript	date:Sat,%2025%20Oct%202025%2010:57:14%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Users/HP/Desktop/Landing_page/central_park_final/connect.facebook.net/en_US/fbevents.js	(from https://www.centralpark.in/)
16:27:15	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sat,%2025%20Oct%202025%2010:57:15%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/HP/Desktop/Landing_page/central_park_final/www.googletagmanager.com/gtm.e5445.delayed	(from https://www.centralpark.in/)
16:27:15	1157048/1157048	---M--	200	added ('OK')	image/png	date:Wed,%2011%20Jun%202025%2005:27:18%20GMT	https://www.centralpark.in/images/centralparklogo.png	C:/Users/HP/Desktop/Landing_page/central_park_final/www.centralpark.in/images/centralparklogo.png	(from https://www.centralpark.in/)
16:27:15	29458/29458	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2013%20Dec%202021%2014:34:07%20GMT	https://www.centralpark.in/images/20-Years-white.svg	C:/Users/HP/Desktop/Landing_page/central_park_final/www.centralpark.in/images/20-Years-white.svg	(from https://www.centralpark.in/)
16:27:15	50842/50842	---MC-	200	added ('OK')	text/html	date:Sat,%2025%20Oct%202025%2010:56:21%20GMT	https://www.centralpark.in/foundation.php	C:/Users/HP/Desktop/Landing_page/central_park_final/www.centralpark.in/foundation.html	(from https://www.centralpark.in/)
16:27:16	57072/57072	---MC-	200	added ('OK')	text/html	date:Sat,%2025%20Oct%202025%2010:56:21%20GMT	https://www.centralpark.in/contact-us.php	C:/Users/HP/Desktop/Landing_page/central_park_final/www.centralpark.in/contact-us.html	(from https://www.centralpark.in/)
16:27:16	58656/58656	---MC-	200	added ('OK')	text/html	date:Sat,%2025%20Oct%202025%2010:56:21%20GMT	https://www.centralpark.in/residential.php	C:/Users/HP/Desktop/Landing_page/central_park_final/www.centralpark.in/residential.html	(from https://www.centralpark.in/)
16:27:16	44292/44292	---MC-	200	added ('OK')	text/html	date:Sat,%2025%20Oct%202025%2010:56:22%20GMT	https://www.centralpark.in/commercial.php	C:/Users/HP/Desktop/Landing_page/central_park_final/www.centralpark.in/commercial.html	(from https://www.centralpark.in/)
16:27:16	53106/53106	---MC-	200	added ('OK')	text/html	date:Sat,%2025%20Oct%202025%2010:56:22%20GMT	https://www.centralpark.in/hospitality.php	C:/Users/HP/Desktop/Landing_page/central_park_final/www.centralpark.in/hospitality.html	(from https://www.centralpark.in/)
16:27:17	56885/56885	---MC-	200	added ('OK')	text/html	date:Sat,%2025%20Oct%202025%2010:56:22%20GMT	https://www.centralpark.in/listing.php?type=leasing	C:/Users/HP/Desktop/Landing_page/central_park_final/www.centralpark.in/listinge0ab.html	(from https://www.centralpark.in/)
16:27:17	88113/88113	---MC-	200	added ('OK')	text/html	date:Sat,%2025%20Oct%202025%2010:56:22%20GMT	https://www.centralpark.in/about-us.php	C:/Users/HP/Desktop/Landing_page/central_park_final/www.centralpark.in/about-us.html	(from https://www.centralpark.in/)
16:27:17	61519/61519	---MC-	200	added ('OK')	text/html	date:Sat,%2025%20Oct%202025%2010:56:22%20GMT	https://www.centralpark.in/group.php	C:/Users/HP/Desktop/Landing_page/central_park_final/www.centralpark.in/group.html	(from https://www.centralpark.in/)
16:27:17	49359/49359	---MC-	200	added ('OK')	text/html	date:Sat,%2025%20Oct%202025%2010:56:23%20GMT	https://www.centralpark.in/media.php	C:/Users/HP/Desktop/Landing_page/central_park_final/www.centralpark.in/media.html	(from https://www.centralpark.in/)
16:27:18	2829596/2829596	---M--	200	added ('OK')	video/mp4	date:Mon,%2013%20Dec%202021%2014:39:40%20GMT	https://www.centralpark.in/images/homebanner/homepage.mp4	C:/Users/HP/Desktop/Landing_page/central_park_final/www.centralpark.in/images/homebanner/homepage.mp4	(from https://www.centralpark.in/)
16:27:18	80601/80601	---MC-	200	added ('OK')	text/html	date:Sat,%2025%20Oct%202025%2010:56:24%20GMT	https://www.centralpark.in/selene.php	C:/Users/HP/Desktop/Landing_page/central_park_final/www.centralpark.in/selene.html	(from https://www.centralpark.in/)
16:27:19	1142/1142	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2013%20Dec%202021%2014:33:23%20GMT	https://www.centralpark.in/images/phone.svg	C:/Users/HP/Desktop/Landing_page/central_park_final/www.centralpark.in/images/phone.svg	(from https://www.centralpark.in/)
16:27:19	857/857	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2013%20Dec%202021%2014:33:44%20GMT	https://www.centralpark.in/images/email.svg	C:/Users/HP/Desktop/Landing_page/central_park_final/www.centralpark.in/images/email.svg	(from https://www.centralpark.in/)
16:27:19	1230/1230	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2013%20Dec%202021%2014:33:27%20GMT	https://www.centralpark.in/images/message.svg	C:/Users/HP/Desktop/Landing_page/central_park_final/www.centralpark.in/images/message.svg	(from https://www.centralpark.in/)
16:27:19	94063/94063	---M--	200	added ('OK')	image/jpeg	date:Fri,%2015%20Mar%202024%2007:32:55%20GMT	https://www.centralpark.in/images/progrigbg/1.jpg	C:/Users/HP/Desktop/Landing_page/central_park_final/www.centralpark.in/images/progrigbg/1.jpg	(from https://www.centralpark.in/)
16:27:19	62807/62807	---M--	200	added ('OK')	image/jpeg	date:Fri,%2015%20Mar%202024%2007:32:55%20GMT	https://www.centralpark.in/images/progrigbg/2.jpg	C:/Users/HP/Desktop/Landing_page/central_park_final/www.centralpark.in/images/progrigbg/2.jpg	(from https://www.centralpark.in/)
16:27:20	13511219/13511219	---M--	200	added ('OK')	video/ogg	date:Mon,%2013%20Dec%202021%2014:39:44%20GMT	https://www.centralpark.in/images/homebanner/homepage.ogv	C:/Users/HP/Desktop/Landing_page/central_park_final/www.centralpark.in/images/homebanner/homepage.ogv	(from https://www.centralpark.in/)
16:27:20	71340/71340	---M--	200	added ('OK')	image/jpeg	date:Fri,%2015%20Mar%202024%2007:32:52%20GMT	https://www.centralpark.in/images/progrigbg/3.jpg	C:/Users/HP/Desktop/Landing_page/central_park_final/www.centralpark.in/images/progrigbg/3.jpg	(from https://www.centralpark.in/)
16:27:20	50893/50893	---M--	200	added ('OK')	image/jpeg	date:Fri,%2015%20Mar%202024%2007:32:51%20GMT	https://www.centralpark.in/images/progrigbg/4.jpg	C:/Users/HP/Desktop/Landing_page/central_park_final/www.centralpark.in/images/progrigbg/4.jpg	(from https://www.centralpark.in/)
16:27:20	56877/56877	---MC-	200	added ('OK')	text/html	date:Sat,%2025%20Oct%202025%2010:56:25%20GMT	https://www.centralpark.in/listing.php	C:/Users/HP/Desktop/Landing_page/central_park_final/www.centralpark.in/listing.html	(from https://www.centralpark.in/)
